id,name,level 1,x,y
1670083347839385295,Restoran Simpang Raya,poisLite,107.58540289999999,-6.8923505
2880471146172292961,Eat hits love,poisLite,107.6304835,-6.921304
8282352313001624390,Kirra Eatery,poisLite,107.6038933,-6.8861786
10251444808704185711,Restoran Raja Rasa,poisLite,107.58394229999999,-6.8798293
17983836300188531229,Warung nasi mas Jhon,poisLite,107.6005435,-6.9228817
12421722481064253567,Rumah Makan Sunda Bambu,poisLite,107.58625669999999,-6.8930340999999995
14397264274776618923,Warung Nasi Hen Prima,poisLite,107.6067216,-6.9221499
5460378181371455952,Nara Park Bandung,poisLite,107.6101245,-6.867704
10008333526096722941,Justus Steak House Ciwalk,poisLite,107.6054678,-6.893223
9192631117119904164,Warung H Andri,poisLite,107.5796134,-6.8920004
15643638548787938485,Feast Restaurant,poisLite,107.6200061,-6.8743077
10494971698963678608,Tjendana Bistro,poisLite,107.5961218,-6.8825081
17553247285226211653,Queen Legend Restaurant,poisLite,107.6049195,-6.8811352
2688446797243477535,Restoran Sederhana Setiabudi Bandung,poisLite,107.59819139999999,-6.879719
3045856208626879105,AhMei Cafe Bandung,poisLite,107.59978559999999,-6.8828401
9111596339743813654,Kalpa Tree Dine and Chill,poisLite,107.60995829999999,-6.866147799999999
16660031057428339521,"Rumah Makan Sunda LOTEK ASLI, Setiabudhi",poisLite,107.5949995,-6.8725998
2004539428648418278,Justus Steak House Paris Van Java,poisLite,107.5963759,-6.888340299999999
11938484283897939977,The Restaurant - Hotel Padma,poisLite,107.60886769999999,-6.8643331
17266096880201643311,Ma' Uneh Setiabudi,poisLite,107.593423,-6.868964399999999
6609279830658631746,Bakmi Parahyangan,poisLite,107.596012,-6.878483
6361419258181449887,Bakmi Apin Bandung Sukajadi,poisLite,107.5970134,-6.886059899999999
8342104000935783972,Rumah Makan Saung Pengkolan,poisLite,107.6013572,-6.834649799999999
15291918177041687873,Pizza Hut Restoran,poisLite,107.596271,-6.8750651
8776823148077359894,Gepuk Ny Yong,poisLite,107.59647819999999,-6.8744992
18353346099803901352,JIGANASUKI,poisLite,107.596057,-6.879713199999999
13562022970858260752,Pondok IJO Baso & Cafe,poisLite,107.5894635,-6.8695477
1151369527713315085,Pepper Lunch,poisLite,107.5958593,-6.889944
2766151168664314757,Nila Nyengir Resto,poisLite,107.59848070000001,-6.853828399999999
2015109785099476151,Makan Puas Branch Office Bandung,poisLite,107.5824031,-6.883689500000001
9886240840614275034,81 Sky Resto,poisLite,107.59334559999999,-6.8694247
5922192007890368484,Reunion House Grill & Bar,poisLite,107.5993985,-6.8817281999999995
10964113523019342941,Ampera Rumah Makan,poisLite,107.5949157,-6.8594992
3998594971481708803,Rumah Makan Bandung,poisLite,107.5581661,-6.8769661
7391746332899730291,Maxi's Resto,poisLite,107.60723229999999,-6.8679944
3513206223917066967,Ikan Pesmol Cianjur,poisLite,107.5964115,-6.8751663999999995
2000848609865937217,Kantin NewBarokah,poisLite,107.5916173,-6.8659938
10435972746212040015,Nasi Goreng Aep's,poisLite,107.59337110000001,-6.8699387
14408868265523435862,Spice Affair Bandung Indian Fusion Cuisine,poisLite,107.59670290000001,-6.884395199999999
14600302140677553065,SKA DapurLaut,poisLite,107.5842366,-6.8683634
6710234110093602703,Kambing Bakar Cairo,poisLite,107.5916316,-6.870146699999999
16783507225062566818,Dapur Jinten,poisLite,107.6461539,-6.9102972
589259871589796582,Kampung Cerbonan,poisLite,107.5775807,-6.886880199999999
17877912733184017254,Ayam Kacida,poisLite,107.5649107,-6.853741800000001
14412550392064801539,Restoran The Volcano,poisLite,107.5826264,-6.8810511
16522662842339700976,RM.,poisLite,107.5478024,-6.8660282
4023077236112242874,Warung Nasi Ibu Alin,poisLite,107.661108,-6.900797600000001
12323265246202442186,Venesia Restaurant,poisLite,107.5820306,-6.8891149
890366797162393576,Restoran Pecel Madiun,poisLite,107.5946724,-6.838980999999999
5046537091232710573,Sushi Tei Flamboyant,poisLite,107.5969349,-6.8780804
17762433803627407251,Korean House Bandung,poisLite,107.5962544,-6.8831238
17450995586541723000,Bandung Boga Makmur. PT,poisLite,107.5938743,-6.866820100000001
6989547807303067490,Markas Opang Resto,poisLite,107.55578949999999,-6.8642262999999994
15576310734577212952,The Heritage Kitchen & Gallery,poisLite,107.59498599999999,-6.8605146
8653550964053511970,Mr Roastman Experience - Bandung,poisLite,107.60517329999999,-6.8733872
14100097328852258446,Warung Nasi Bu Elis,poisLite,107.6039418,-6.8194161
101311679585365201,Dakken Restaurant - Setiabudhi,poisLite,107.59571609999999,-6.8615227999999995
1446955024000014,WaterLeaf Restaurant,poisLite,107.5974639,-6.8566233
